V	uW
0.0	37.8980913
0.05	7.27810811
0.1	2.50951348
0.15	2.00746922
0.2	-0.251376008
0.25	0.875215562
0.3	1.40035081
0.35	2.4256135
0.4	3.77594847
0.45	5.87647492
0.5	8.82720906
0.55	13.1002853
0.6	18.0100542
0.65	24.1302459
0.7	31.7407648
0.75	41.7191732
0.8	52.6507793
0.85	65.3601965
0.9	80.1550705
0.95	98.6139858
1.0	120.505043
1.05	140.360004
1.1	164.340992
1.15	191.322717
1.2	223.005627
1.25	254.938583
1.3	289.697229
1.35	326.981506
1.4	369.192043
1.45	410.62737
1.5	453.788147
1.55	497.499015
1.6	546.186173
1.65	591.0974
1.7	634.383177
1.75	676.143565
1.8	720.354612
1.85	758.864218
1.9	795.223226
1.95	831.082172
2.0	870.016927
2.05	903.050182
2.1	934.032898
2.15	961.389684
2.2	986.220897
2.25	1009.30175
2.3	1028.35649
2.35	1044.48537
2.4	1059.71424
2.45	1074.24287
2.5	1086.04587
2.55	1097.09857
2.6	1107.3011
2.65	1142.72546
2.7	1133.18802
2.75	1138.20774
2.8	1144.73316
2.85	1150.00387
2.9	1161.04714
2.95	1162.55309
3.0	1174.09823
3.05	1175.60406
3.1	1180.62389
3.15	1187.6513
3.2	1191.91792
3.25	1191.91792
3.3	1199.69842
3.35	1199.94953
3.4	1201.45536
3.45	1202.96131
3.5	1206.72595
3.55	1210.74182
3.6	1214.00459
3.65	1211.99666
3.7	1213.00051
3.75	1214.00459
3.8	1215.51054
3.85	1217.51823
3.9	1215.25943
3.95	1211.49467
4.0	1217.76923
4.05	1217.51823
4.1	1222.28696
4.15	1220.78101
4.2	1222.28696
4.25	1218.77308
4.3	1219.77716
4.35	1220.02815
4.4	1220.78101
4.45	1221.28311
4.5	1220.78101
4.55	1220.27902
4.6	1220.78101
4.65	1220.02815
4.7	1220.53002
4.75	1217.76923
4.8	1217.26724
4.85	1217.51823
4.9	1218.27133
4.95	1216.26328
5.0	1215.25943
5.05	1216.76538
5.1	1215.00844
5.15	1216.76538
5.2	1214.00459
5.25	1212.49876
5.3	1213.5026
5.35	1214.50645
5.4	1209.73773
5.45	1209.48686
5.5	1207.98103
5.55	1205.97309
5.6	1204.46715
5.65	1205.7221
5.7	1202.71021
5.75	1202.20822
5.8	1198.69458
5.85	1199.19644
5.9	1195.93379
5.95	1193.67486
6.0	1190.91407
6.05	1189.65923
6.1	1187.40031
6.15	1184.89051
6.2	1183.38468
6.25	1180.12179
6.3	1173.59613
6.35	1178.61596
6.4	1173.34514
6.45	1169.83161
6.5	1165.31388
6.55	1162.80385
6.6	1161.8
6.65	1160.79615
6.7	1159.54131
6.75	1151.25871
6.8	1150.75673
6.85	1147.99594
6.9	1143.72931
6.95	1140.46643
7.0	1137.95674
