V	uW
0.0	23.4068139
0.05	4.33443347
0.1	1.60984928
0.15	1.11444388
0.2	0.866770279
0.25	0.0370200723
0.3	0.135732989
0.35	0.0740401447
0.4	0.0740401447
0.45	0.0246800482
0.5	0.0740401447
0.55	0.00497948349
0.6	0.0099562385
0.65	0.0099562385
0.7	0.00871204975
0.75	0.00497948349
0.8	0.0112004273
0.85	0.0114188765
0.9	0.00893652441
0.95	0.0107983169
1.0	0.00955714086
1.05	0.0109224061
1.1	0.0119154038
1.15	0.0103085682
1.2	0.00930376132
1.25	0.00948983825
1.3	0.00843541414
1.35	0.00766630848
1.4	0.00762909025
1.45	0.00795844013
1.5	0.00961429603
1.55	0.0137022651
1.6	0.0299832443
1.65	0.0741073336
1.7	0.188456355
1.75	0.481722225
1.8	1.57716886
1.85	3.44899399
1.9	7.2059056
1.95	13.3304866
2.0	24.8865617
2.05	41.9537646
2.1	70.0498058
2.15	107.524058
2.2	159.743679
2.25	231.582671
2.3	307.48127
2.35	390.277506
2.4	478.367292
2.45	590.995769
2.5	670.87682
2.55	758.436392
2.6	841.166009
2.65	924.390857
2.7	990.648754
2.75	1048.98051
2.8	1099.38602
2.85	1147.19081
2.9	1182.9827
2.95	1211.8388
3.0	1233.3882
3.05	1252.46053
3.1	1267.56984
3.15	1276.85838
3.2	1283.91758
3.25	1288.12832
3.3	1292.09133
3.35	1294.69228
3.4	1295.31138
3.45	1295.06364
3.5	1294.32068
3.55	1292.95839
3.6	1290.97677
3.65	1289.98607
3.7	1289.98607
3.75	1289.61448
3.8	1289.73834
3.85	1288.87151
3.9	1289.86221
3.95	1289.73834
4.0	1289.86221
4.05	1289.61448
4.1	1289.36674
4.15	1287.88059
4.2	1287.38536
4.25	1284.66054
4.3	1281.81209
4.35	1279.8307
4.4	1276.85838
4.45	1273.88607
4.5	1269.17986
4.55	1264.22592
4.6	1257.2906
4.65	1252.21279
4.7	1245.27747
4.75	1239.58057
4.8	1234.87436
4.85	1230.53975
4.9	1223.85193
4.95	1216.79273
5.0	1211.4672
5.05	1204.65574
5.1	1197.72041
5.15	1190.90872
5.2	1185.70728
5.25	1173.57029
5.3	1162.05262
5.35	1151.40178
5.4	1139.14092
5.45	1127.62325
5.5	1117.71538
5.55	1106.32158
5.6	1093.68912
5.65	1084.40057
5.7	1073.87383
5.75	1064.08983
5.8	1053.31512
5.85	1042.41678
5.9	1031.27048
5.95	1020.24805
6.0	1007.36809
6.05	997.460331
6.1	985.571067
6.15	971.947913
6.2	960.182515
6.25	947.426306
6.3	936.775585
6.35	926.124747
6.4	916.46472
6.45	906.061614
6.5	895.782257
6.55	886.74156
6.6	878.69144
6.65	867.173774
6.7	859.619118
6.75	851.445249
6.8	843.023648
6.85	834.973645
6.9	826.056697
6.95	817.015884
7.0	809.213496
V	uW
0.0	23.7783534
0.05	4.70597297
0.1	2.22906237
0.15	1.73365697
0.2	0.247498974
0.25	0.0370200723
0.3	0.098712917
0.35	0.185093086
0.4	0.098712917
0.45	0.123392965
0.5	0.0863728928
0.55	0.007467861
0.6	0.0286217983
0.65	0.0286217983
0.7	0.0161780918
0.75	0.00871204975
0.8	0.00871204975
0.85	0.00819181878
0.9	0.00943299483
0.95	0.00893652441
1.0	0.00794358357
1.05	0.00831596481
1.1	0.00881243523
1.15	0.00874553763
1.2	0.00832377367
1.25	0.00832377367
1.3	0.00810047851
1.35	0.00833617264
1.4	0.00824934432
1.45	0.00895219276
1.5	0.00962150448
1.55	0.0136457876
1.6	0.0279452657
1.65	0.0709316623
1.7	0.182551574
1.75	0.472554973
1.8	1.56239889
1.85	3.42181193
1.9	7.15364422
1.95	13.2682717
2.0	24.8566976
2.05	41.8517266
2.1	70.0991659
2.15	107.598084
2.2	160.06449
2.25	232.471095
2.3	308.357354
2.35	391.054869
2.4	479.119975
2.45	590.624288
2.5	670.505338
2.55	758.931856
2.6	839.060522
2.65	921.04706
2.7	985.942665
2.75	1043.77908
2.8	1094.30845
2.85	1140.13162
2.9	1170.8457
2.95	1199.82567
3.0	1221.74667
3.05	1237.97054
3.1	1250.97437
3.15	1258.40516
3.2	1266.45528
3.25	1269.42759
3.3	1272.27604
3.35	1273.7622
3.4	1274.00993
3.45	1274.3813
3.5	1273.7622
3.55	1272.89514
3.6	1272.27604
3.65	1272.02831
3.7	1271.78058
3.75	1272.64741
3.8	1272.52378
3.85	1274.00993
3.9	1275.99132
3.95	1276.98225
4.0	1276.85838
4.05	1279.0875
4.1	1279.58297
4.15	1281.44072
4.2	1281.44072
4.25	1280.4498
4.3	1280.69753
4.35	1279.58297
4.4	1279.58297
4.45	1276.98225
4.5	1274.1338
4.55	1270.41829
4.6	1267.19824
4.65	1261.9968
4.7	1257.6622
4.75	1254.19442
4.8	1248.49752
4.85	1243.29585
4.9	1237.35121
4.95	1230.53975
5.0	1224.84262
5.05	1218.77436
5.1	1212.08653
5.15	1205.02734
5.2	1195.73879
5.25	1186.32638
5.3	1175.18031
5.35	1164.40561
5.4	1152.14474
5.45	1139.26479
5.5	1127.62325
5.55	1116.72468
5.6	1104.71155
5.65	1092.20296
5.7	1081.30462
5.75	1070.52992
5.8	1060.12681
5.85	1049.22825
5.9	1036.84352
5.95	1026.19268
6.0	1012.69351
6.05	1000.3089
6.1	987.676438
6.15	975.291827
6.2	963.89791
6.25	949.655543
6.3	938.014011
6.35	925.753149
6.4	915.226177
6.45	904.575456
6.5	893.924618
6.55	884.388457
6.6	875.719124
6.65	864.944537
6.7	857.513747
6.75	848.225201
6.8	840.051332
6.85	829.772092
6.9	822.712784
6.95	812.805025
7.0	804.631156
