V	uW
0.0	24.1498929
0.05	3.21981497
0.1	1.11444388
0.15	-1.61019852
0.2	-0.000174622983
0.25	0.135732989
0.3	0.098712917
0.35	0.0
0.4	-0.0493528205
0.45	0.0123400241
0.5	0.098712917
0.55	0.022399945
0.6	0.007467861
0.65	0.0112004273
0.7	0.00124600774
0.75	0.0124455255
0.8	0.0261325113
0.85	0.00918475962
0.9	0.0104259357
0.95	0.00980537607
1.0	0.0104259357
1.05	0.0101777005
1.1	0.00980537607
1.15	0.0096635091
1.2	0.0101721085
1.25	0.00953945545
1.3	0.00997363259
1.35	0.00905566111
1.4	0.00891920848
1.45	0.00868543015
1.5	0.00941121936
1.55	0.0136301663
1.6	0.0284811961
1.65	0.0738716324
1.7	0.190168223
1.75	0.479973153
1.8	1.49276843
1.85	3.19678611
1.9	6.53645748
1.95	11.7750778
2.0	21.7433881
2.05	36.7512293
2.1	61.8442282
2.15	94.3457562
2.2	138.692951
2.25	198.13102
2.3	260.801957
2.35	329.753588
2.4	403.394137
2.45	487.78209
2.5	578.23956
2.55	644.125976
2.6	718.18626
2.65	789.893442
2.7	852.683675
2.75	906.556961
2.8	955.104828
2.85	998.946489
2.9	1033.62347
2.95	1060.99364
3.0	1083.40988
3.05	1100.12922
3.1	1115.36239
3.15	1125.3939
3.2	1133.44402
3.25	1138.76932
3.3	1144.96169
3.35	1148.3056
3.4	1150.16312
3.45	1152.02088
3.5	1154.12637
3.55	1155.48866
3.6	1156.47935
3.65	1159.45167
3.7	1159.57553
3.75	1162.05262
3.8	1164.28174
3.85	1164.7772
3.9	1166.51109
3.95	1168.24475
4.0	1169.60704
4.05	1169.85478
4.1	1169.85478
4.15	1171.34093
4.2	1169.35954
4.25	1170.8457
4.3	1170.22637
4.35	1167.62565
4.4	1166.01563
4.45	1163.29105
4.5	1159.45167
4.55	1154.6216
4.6	1151.03018
4.65	1145.33328
4.7	1138.89319
4.75	1131.33853
4.8	1123.53615
4.85	1117.09628
4.9	1109.54163
4.95	1100.74854
5.0	1093.31775
5.05	1085.3915
5.1	1076.59842
5.15	1066.56668
5.2	1056.90677
5.25	1046.13206
5.3	1035.85282
5.35	1025.07812
5.4	1013.18886
5.45	1002.16654
5.5	992.134912
5.55	982.22727
5.6	971.576432
5.65	960.801728
5.7	949.407928
5.75	940.986327
5.8	927.610905
5.85	919.437036
5.9	908.910064
5.95	900.612329
6.0	889.342278
6.05	882.15922
6.1	871.879864
6.15	863.953726
6.2	854.912912
6.25	846.367562
6.3	837.822095
6.35	829.524361
6.4	820.607413
6.45	812.433544
6.5	804.631156
6.55	796.209672
6.6	789.893442
6.65	781.224226
6.7	774.288783
6.75	767.105725
6.8	761.780306
6.85	752.615626
6.9	745.680183
6.95	738.125527
7.0	729.580177
V	uW
0.0	20.6822297
0.05	3.71522037
0.1	1.85752288
0.15	1.48598338
0.2	0.495230779
0.25	0.0246800482
0.3	0.0123400241
0.35	0.0493600965
0.4	0.197425834
0.45	0.0
0.5	0.0493600965
0.55	0.00497948349
0.6	0.014933903
0.65	0.00622367224
0.7	0.0161780918
0.75	0.0174222805
0.8	0.0099562385
0.85	0.00881243523
0.9	0.0110465521
0.95	0.0114188765
1.0	0.00918475962
1.05	0.0110465521
1.1	0.00980537607
1.15	0.00994882043
1.2	0.00999844474
1.25	0.00891920848
1.3	0.00859667892
1.35	0.00867110828
1.4	0.00795161981
1.45	0.00793200261
1.5	0.00904231623
1.55	0.0134415084
1.6	0.0285160446
1.65	0.076476681
1.7	0.194423123
1.75	0.490777836
1.8	1.52615621
1.85	3.26455438
1.9	6.64222443
1.95	12.0015457
2.0	22.1378396
2.05	37.3995208
2.1	62.6586116
2.15	95.9128374
2.2	140.98805
2.25	201.104762
2.3	264.750532
2.35	334.652257
2.4	409.341621
2.45	494.753825
2.5	585.794216
2.55	653.662253
2.6	724.378624
2.65	800.792011
2.7	861.353008
2.75	916.340854
2.8	965.384068
2.85	1010.46427
2.9	1045.3891
2.95	1073.99747
3.0	1096.66144
3.05	1114.74306
3.1	1129.23305
3.15	1139.14092
3.2	1148.67697
3.25	1154.6216
3.3	1158.58484
3.35	1162.17625
3.4	1164.40561
3.45	1164.40561
3.5	1165.02494
3.55	1167.37792
3.6	1167.13019
3.65	1170.22637
3.7	1169.11181
3.75	1172.57936
3.8	1171.4648
3.85	1172.08413
3.9	1172.57936
3.95	1173.57029
4.0	1173.19869
4.05	1171.34093
4.1	1172.82709
4.15	1173.19869
4.2	1170.59797
4.25	1167.50179
4.3	1165.27244
4.35	1161.18556
4.4	1159.0803
4.45	1154.6216
4.5	1150.28699
4.55	1145.08555
4.6	1140.87481
4.65	1134.18698
4.7	1127.12779
4.75	1118.70631
4.8	1111.39915
4.85	1102.97767
4.9	1095.29914
4.95	1085.88673
5.0	1077.71298
5.05	1070.03446
5.1	1062.8514
5.15	1053.93445
5.2	1046.50366
5.25	1036.34829
5.3	1028.66977
5.35	1017.52346
5.4	1008.60652
5.45	999.565818
5.5	988.791115
5.55	979.254954
5.6	967.737171
5.65	957.705663
5.7	947.426306
5.75	935.784774
5.8	926.620094
5.85	917.703146
5.9	908.043119
5.95	900.736195
6.0	889.466144
6.05	880.42533
6.1	870.889169
6.15	861.476758
6.2	850.949786
6.25	841.661356
6.3	831.010519
6.35	821.722089
6.4	812.433544
6.45	802.773517
6.5	795.714208
6.55	787.911937
6.6	780.109549
6.65	773.297972
6.7	763.885677
6.75	755.835674
6.8	748.033286
6.85	740.231015
6.9	732.552493
6.95	724.873971
7.0	717.0717
